"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10001","Garcia","Manuel III","10/11/1983","Valero Carpark Building Valero Street 1227, Makati City","0917-123-4567","44-4506057-3","8.20127E+11","442-605-657-000","6.91295E+11","Regular","Chief Executive Officer","N/A","90,000.00","1,500.00","2,000.00","1,000.00","45,000.00","535.71"
"10002","Lim","Antonio","6/19/1988","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite","0928-234-5678","52-2061274-9","3.31736E+11","683-102-776-000","6.63905E+11","Regular","Chief Operating Officer","Garcia, Manuel III","60000","1500","2000","1000","30000","357.14"
"10003","Aquino","Bianca Sofia","8/4/1989","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City","0939-345-6789","30-8870406-2","1.77451E+11","971-711-280-000","1.7152E+11","Regular","Chief Finance Officer","Garcia, Manuel III","60,000.00","1,500.00","2,000.00","1,000.00","30,000.00","357.14"
"10004","Reyes","Isabella","6/16/1994","460 Solanda Street Intramuros 1000, Manila","0945-456-7890","40-2511815-0","3.41911E+11","876-809-437-000","4.16947E+11","Regular","Chief Marketing Officer","Garcia, Manuel III","60000","1500","2000","1000","30000","357.14"
"10005","Hernandez","Eduard","9/23/1989","National Highway, Gingoog,  Misamis Occidental","0956-567-8901","50-5577638-1","9.57436E+11","031-702-374-000","9.52347E+11","Regular","IT Operations and Systems","Lim, Antonio","52670","1500","1000","1000","26335","313.51"
"10006","Villanueva","Andrea Mae","2/14/1988","17/85 Stracke Via Suite 042, Poblacion, Las Pi�as 4783 Dinagat Islands ","0967-678-9012","49-1632020-8","3.82189E+11","317-674-022-000","4.41093E+11","Regular","HR Manager","Lim, Antonio","52670","1500","1000","1000","26335","313.51"
"10007","San Jose","Brad","3/15/1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","0978-789-0123","40-2400714-1","2.39193E+11","672-474-690-000","2.1085E+11","Regular","HR Team Leader","Villanueva, Andrea Mae","42975","1500","800","800","21488","255.8"
"10008","Romualdez","Alice","5/14/1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ","0999-890-1234","55-4476527-2","5.45653E+11","888-572-294-000","2.11386E+11","Regular","HR Rank and File","San, Jose Brad","22500","1500","500","500","11250","133.93"
"10009","Atienza","Rosie","9/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","0915-901-2345","41-0644692-3","7.08988E+11","604-997-793-000","2.60108E+11","Regular","HR Rank and File","San, Jose Brad","22500","1500","500","500","11250","133.93"
"10010","Alvaro","Roderick","3/30/1988","#284 T. Morato corner, Scout Rallos Street, Quezon City","0923-012-3456","64-7605054-4","5.78115E+11","525-420-419-000","7.99254E+11","Regular","Accounting Head","Aquino, Bianca Sofia ","52670","1500","1000","1000","26335","313.51"
"10011","Salcedo","Anthony","9/14/1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","0930-123-4567","26-9647608-3","1.26445E+11","210-805-911-000","2.18002E+11","Regular","Payroll Manager","Alvaro, Roderick","50825","1500","1000","1000","25413","302.53"
"10012","Lopez","Josie","1/14/1987","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","0947-234-5678","44-8563448-3","4.31709E+11","218-489-737-000","1.13071E+11","Regular","Payroll Team Leader","Salcedo, Anthony","38475","1500","800","800","19238","229.02"
"10013","Farala","Martha","1/11/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ","0958-345-6789","45-5656375-0","2.33694E+11","210-835-851-000","6.3113E+11","Regular","Payroll Rank and File","Salcedo, Anthony","24,000.00","1,500.00","500","500","12,000.00","142.86"
"10014","Martinez","Leila","7/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino ","0963-456-7890","27-2090996-4","5.15741E+11","275-792-513-000","1.01205E+11","Regular","Payroll Rank and File","Salcedo, Anthony","24000","1500","500","500","12000","142.86"
"10015","Romualdez","Fredrick","3/10/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","0975-567-8901","26-8768374-1","3.08367E+11","598-065-761-000","2.23058E+11","Regular","Account Manager","Lim, Antonio","53500","1500","1000","1000","26750","318.45"
