"Employee #","Last Name","First Name","Birthday","Address","Phone Number"
"10001","Garcia","Manuel III","10/11/1983","Valero Carpark Building Valero Street 1227, Makati City","0917-123-4567"
"10002","Lim","Antonio","6/19/1988","San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite","0928-234-1234"
"10003","Aquino","Bianca Sofia","8/04/1989","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City","0939-345-6789"
"10004","Reyes","Isabella","6/16/1994","460 Solanda Street Intramuros 1000, Manila","0945-456-7890"
"10005","Hernandez","Eduard","9/23/1989","National Highway, Gingoog,  Misamis Occidental","0956-567-8901"
"10006","Villanueva","Andrea Mae","2/14/1988","17/85 Stracke Via Suite 042, Poblacion, Las Pi�as 4783 Dinagat Islands ","0967-678-9012"
"10007","San Jose","Brad","3/15/1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","0978-789-0123"
"10008","Romualdez","Alice","5/14/1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ","0999-890-1234"
"10009","Atienza","Rosie","9/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","0915-901-2345"
"10010","Alvaro","Roderick","3/30/1988","#284 T. Morato corner, Scout Rallos Street, Quezon City","0923-012-3456"
"10011","Salcedo","Anthony","9/14/1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","0930-123-4567"
"10012","Lopez","Josie","1/14/1987","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","0947-234-5678"
"10013","Farala","Martha","1/11/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ","0958-345-6789"
"10014","Martinez","Leila","7/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino ","0963-456-7890"
"10015","Romualdez","Fredrick","3/10/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","0975-567-8901"
"10016","Mata","Christian","10/21/1987","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ","0991-678-9012"
"10017","De Leon","Selena","2/20/1975","89A Armstrong Trace, Compostela 7874 Maguindanao","0918-789-0123"
"10018","San Jose","Allison","6/24/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","0929-890-1234"
"10019","Rosario","Cydney","10/06/1996","93A/21 Berge Points, Tapaz 2180 Quezon","0936-901-2345"
"10020","Bautista","Mark","2/12/1991","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","0948-012-3456"
"10021","Lazaro","Darlene","11/25/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","0959-123-4567"
"10022","Delos Santos","Kolby","2/26/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","0964-234-5678"
"10023","Santos","Vella","12/31/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","0973-345-6789"
"10024","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","0992-456-7890"
"10025","Tolentino","Jacklyn","5/19/1984","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","0916-567-8901"
"10026","Gutierrez","Percival","12/18/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","0927-678-9012"
"10027","Manalaysay","Garfield","8/28/1986","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","0938-789-0123"
"10028","Villegas","Lizeth","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","0949-890-1234"
"10029","Ramos","Carol","8/20/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","0955-901-2345"
"10030","Maceda","Emelia","4/14/1973","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","0968-012-3456"
"10031","Aguilar","Delia","1/27/1989","95 Cremin Junction, Surallah 2809 Cotabato","0974-123-4567"
"10032","Castro","John Rafael","2/09/1992","Hi-way, Yati, Liloan Cebu","0993-234-5678"
"10033","Martinez","Carlos Ian","11/16/1990","Bulala, Camalaniugan","0919-345-6789"
"10034","Santos","Beatriz","8/07/1990","Agapita Building, Metro Manila","0925-456-7890"
