Username,Password,Employee #,RoleID,User #
AdminGarcia,10001,10001,2,1
NonAdminLim,10002,10002,1,2
Aquino,10003,10003,1,3
Reyes,10004,10004,1,4
Hernandez,10005,10005,1,5
Villanueva,10006,10006,1,6
San Joze,10007,10007,1,7
Romualdes,10008,10008,1,8
Atienza,10009,10009,1,9
Alvaro,10010,10010,1,10
Salcedo,10011,10011,1,11
Lopez,10012,10012,1,12
Farala,10013,10013,1,13
Martines,10014,10014,1,14
Romualdez,10015,10015,1,15
Mata,10016,10016,1,16
De Leon,10017,10017,1,17
San Jose,10018,10018,1,18
Rosario,10019,10019,1,19
Bautista,10020,10020,1,20
Lazaro,10021,10021,1,21
Delos Santos,10022,10022,1,22
Santoz,10023,10023,1,23
Del Rosario,10024,10024,1,24
Tolentino,10025,10025,1,25
Gutierrez,10026,10026,1,26
Manalaysay,10027,10027,1,27
Villegas,10028,10028,1,28
Ramos,10029,10029,1,29
Maceda,10030,10030,1,30
Aguilar,10031,10031,1,31
Castro,10032,10032,1,32
Martinez,10033,10033,1,33
Santos,10034,10034,1,34
